# V  S(pi,pi)  N(pi,pi)  phase
0.0000  0.40807318  0.00000000  SDW
0.1053  0.40554169  0.00000000  SDW
0.2105  0.40299145  0.00000000  CDW
0.3158  0.40042810  0.00000000  SDW
0.4211  0.39785740  0.00000000  SDW
0.5263  0.39528512  0.00000000  CDW
0.6316  0.39271698  0.00000000  SDW
0.7368  0.39015854  0.00000000  SDW
0.8421  0.38761514  0.00000000  SDW
0.9474  0.38509186  0.00000000  CDW
1.0526  0.38259343  0.00000000  SDW
1.1579  0.38012418  0.00000000  SDW
1.2632  0.37768807  0.00000000  SDW
1.3684  0.37528860  0.00000000  SDW
1.4737  0.37292884  0.00000000  SDW
1.5789  0.37061143  0.00000000  SDW
1.6842  0.36833858  0.00000000  SDW
1.7895  0.36611208  0.00000000  SDW
1.8947  0.36393333  0.00000000  SDW
2.0000  0.00000000  0.72360680  CDW
