# U  m_AF(gs)  m_AF(afm)  phase
0.0000  0.00000000  0.00000000  AFM
0.1000  0.00000000  0.00000000  AFM
0.2000  0.00000000  0.00000000  AFM
0.3000  0.00000000  0.00000000  AFM
0.4000  0.00000000  0.00000000  AFM
0.5000  0.00000000  0.00000000  AFM
0.6000  0.00000000  0.00000000  AFM
0.7000  0.00000000  0.00000000  AFM
0.8000  0.00000000  0.00000000  PM
0.9000  0.00000000  0.00000000  AFM
1.0000  0.00000000  0.00000000  AFM
1.1000  0.00000000  0.00000000  AFM
1.2000  0.00000000  0.00000000  AFM
1.3000  0.00000000  0.00000000  AFM
1.4000  0.00000000  0.00000000  AFM
1.5000  0.00000000  0.00000000  AFM
1.6000  0.00000000  0.00000000  AFM
1.7000  0.00000000  0.00000000  AFM
1.8000  0.00000000  0.00000000  PM
1.9000  0.00000000  0.00000000  AFM
2.0000  0.00000000  0.00000000  AFM
2.1000  0.00000000  0.00000000  AFM
2.2000  0.00000000  0.00000000  AFM
2.3000  0.03174965  0.03174965  AFM
2.4000  0.07159870  0.07159870  AFM
2.5000  0.10562539  0.10562539  AFM
2.6000  0.13507211  0.13507211  AFM
2.7000  0.16084081  0.16084081  AFM
2.8000  0.18360434  0.18360434  AFM
2.9000  0.20387552  0.20387552  AFM
3.0000  0.22205258  0.22205258  AFM
3.1000  0.23845000  0.23845000  AFM
3.2000  0.25331980  0.25331980  AFM
3.3000  0.26686671  0.26686671  AFM
3.4000  0.27925897  0.27925897  AFM
3.5000  0.29063642  0.29063642  AFM
3.6000  0.30111640  0.30111640  AFM
3.7000  0.31079823  0.31079823  AFM
3.8000  0.31976669  0.31976669  AFM
3.9000  0.32809468  0.32809468  AFM
4.0000  0.33584528  0.33584528  AFM
